timestamp,device,event,detail
1720500753.549191,mouse,move,"(1331.7734375, 645.7734375)"
1720500753.5578601,mouse,move,"(1331.48046875, 645.48046875)"
1720500753.565299,mouse,move,"(1330.7265625, 644.7265625)"
1720500753.5747478,mouse,move,"(1329.9765625, 643.9765625)"
1720500753.581855,mouse,move,"(1329.22265625, 643.22265625)"
1720500753.590305,mouse,move,"(1328.46875, 642.84375)"
1720500753.6050181,mouse,move,"(1327.71484375, 642.08984375)"
1720500753.611292,mouse,move,"(1327.421875, 641.796875)"
1720500753.626195,mouse,move,"(1326.66796875, 641.04296875)"
1720500753.626464,mouse,move,"(1326.375, 640.75)"
1720500753.634516,mouse,move,"(1326.08203125, 640.45703125)"
1720500753.6402822,mouse,move,"(1325.7890625, 640.1640625)"
1720500753.647269,mouse,move,"(1325.49609375, 639.87109375)"
1720500753.6573892,mouse,move,"(1325.203125, 639.87109375)"
1720500753.663796,mouse,move,"(1324.91015625, 639.578125)"
1720500753.6738958,mouse,move,"(1324.6171875, 639.28515625)"
1720500753.680289,mouse,move,"(1324.32421875, 639.28515625)"
1720500753.6909308,mouse,move,"(1324.03125, 638.9921875)"
1720500753.696624,mouse,move,"(1323.73828125, 638.69921875)"
1720500753.708192,mouse,move,"(1323.4453125, 638.69921875)"
1720500753.7130089,mouse,move,"(1322.69140625, 638.3203125)"
1720500753.724705,mouse,move,"(1322.3984375, 638.02734375)"
1720500753.729491,mouse,move,"(1322.10546875, 637.734375)"
1720500753.741442,mouse,move,"(1321.8125, 637.734375)"
1720500753.7461052,mouse,move,"(1321.51953125, 637.44140625)"
1720500753.7576818,mouse,move,"(1320.765625, 637.0625)"
1720500753.762223,mouse,move,"(1320.47265625, 636.76953125)"
1720500753.7741172,mouse,move,"(1319.71875, 636.390625)"
1720500753.779095,mouse,move,"(1318.96875, 636.015625)"
1720500753.79126,mouse,move,"(1318.67578125, 635.72265625)"
1720500753.7954218,mouse,move,"(1318.3828125, 635.4296875)"
1720500753.8079748,mouse,move,"(1318.08984375, 635.4296875)"
1720500753.8118,mouse,move,"(1317.796875, 635.13671875)"
1720500753.819804,mouse,move,"(1317.50390625, 635.13671875)"
1720500753.8363268,mouse,move,"(1317.25390625, 635.13671875)"
1720500753.892299,mouse,press,"Button.left at (1317.25390625, 635.13671875)"
1720500753.990857,mouse,release,"Button.left at (1317.25390625, 635.13671875)"
