timestamp,event,key
1720494877.505562,press,a
1720494877.511254,press,d
1720494877.7510679,press,d
1720494877.784968,press,d
1720494877.818021,press,d
1720494877.8528671,press,d
1720494877.8855119,press,d
1720494877.918721,press,d
1720494877.950562,press,d
1720494877.984826,press,d
1720494878.018883,press,d
1720494878.052703,press,d
1720494878.086963,press,d
1720494878.120856,press,d
1720494878.155127,press,d
1720494878.18911,press,d
1720494878.221888,press,d
1720494878.246858,release,a
1720494878.254416,release,d
1720494879.562622,press,Key.ctrl
1720494879.659229,press,c
